,Bajaj Auto Ltd.,Bharat Heavy Electricals Ltd.Bharti Airtel Ltd.Cipla Ltd.,,,,,,,,,,,
1-Jan-11,1541.5,,,,,,,,,,,,
8-Jan-11,1317,,,,,,,,,,,,
15-Jan-11,1246.9,,,,,,,,,,,,
22-Jan-11,1311.55,,,,,,,,,,,,
29-Jan-11,1254.7,,,,,,,,,,,,
5-Feb-11,1226.8,,,,,,,,,,,,
12-Feb-11,1255.6,,,,,,,,,,,,
19-Feb-11,1335.2,,,,,,,,,,,,
26-Feb-11,1284.5,,,,,,,,,,,,
5-Mar-11,1377.65,,,,,,,,,,,,
12-Mar-11,1374.2,,,,,,,,,,,,
19-Mar-11,1360.5,,,,,,,,,,,,
26-Mar-11,1380.65,,,,,,,,,,,,
2-Apr-11,1459.5,,,,,,,,,,,,
9-Apr-11,1413.85,,,,,,,,,,,,
16-Apr-11,1417.65,,,,,,,,,,,,
23-Apr-11,1463.45,,,,,,,,,,,,
30-Apr-11,1462.8,,,,,,,,,,,,
7-May-11,1319.05,,,,,,,,,,,,
14-May-11,1337.25,,,,,,,,,,,,
21-May-11,1330.45,,,,,,,,,,,,
28-May-11,1314.3,,,,,,,,,,,,
4-Jun-11,1371.9,,,,,,,,,,,,
11-Jun-11,1325.5,,,,,,,,,,,,
18-Jun-11,1338.1,,,,,,,,,,,,
25-Jun-11,1382.7,,,,,,,,,,,,
2-Jul-11,1420.6,,,,,,,,,,,,
9-Jul-11,1456.95,,,,,,,,,,,,
16-Jul-11,1418.8,,,,,,,,,,,,
23-Jul-11,1447.6,,,,,,,,,,,,
30-Jul-11,1464.85,,,,,,,,,,,,
